Product Name,Price (INR),Product ID,HS Code,Subcategory,Clean Image URL
Brass Sitting Deer Dokra Art,591.25-620.81,BBE-SRID-SH-DO-0001,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0449_img-20250712-wa0043-500x500.jpeg
Brass Peacock Dokra Art,322.5-338.63,BBE-SRID-SH-DO-0002,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0450_img-20250712-wa0068-500x500.jpg
Brass Tortoise Dokra Art,387-406.35,BBE-SRID-SH-DO-0003,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0451_img-20250712-wa0054-500x500.jpg
"Handcrafted Dokra Brass Boat With Tribal Figures, Lost-Wax Casting Art.",2687.5-2821.88,BBE-SRID-SH-DO-0004,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0452_product-jpeg-500x500.jpg
DOKRA Dokra BRASS OWL SHOWPIECE,268.75-282.19,BBE-SRID-SH-DO-0005,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0453_product-jpeg-500x500.jpeg
BRASS DOKRA DOKHRA SITTING GANESH RUSTIC ANTIQUE FINISH,322.5-338.63,BBE-SRID-ID-DO-0006,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0454_product-jpeg-500x500.jpeg
DOKRA Dokra BRASS GANPATI GANESH IDOL,1290-1354.5,BBE-SRID-ID-DO-0007,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0455_product-jpeg-500x500.jpeg
"Handcrafted Dokra Brass Mahabharata Chariot, Arjuna-Krishna Rath, Lost-Wax Art",16125-16931.25,BBE-SRID-ID-DO-0008,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0456_product-jpeg-500x500.jpg
BRASS DOKRA Dokra HANDMADE HANDCRAFTED GANESHJI,1290-1354.5,BBE-SRID-ID-DO-0009,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0457_product-jpeg-500x500.jpeg
Dokra Brass Ganesh with umbrella creative HANDCRAFTED,913.75-959.44,BBE-SRID-ID-DO-0010,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0458_product-jpeg-500x500.jpeg
Dokra Brass,4515-4740.75,BBE-SRID-SH-DO-0011,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0459_product-jpeg-500x500.jpeg
DOKRA Dokra BRASS ADIBASI TRIBAL MAN PLAYING FLUTE,591.25-620.81,BBE-SRID-SH-DO-0012,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0460_product-jpeg-500x500.jpeg
DOKRA Dokra BRASS FIGHTING BULL TABLETOP DESKTOP SHOWPIECE,268.75-282.19,BBE-SRID-SH-DO-0013,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0461_product-jpeg-500x500.jpeg
TRIBAL/FOLKLORE BASED CONCEPTUAL INNOVATIVE DOKRA DHOK..RA BRASS TABLETOP. E,537.5-564.38,BBE-SRID-SH-DO-0014,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0462_product-jpeg-500x500.jpeg
Brass Musician Dokra Art Figurine 2 figure,2257.5-2370.38,BBE-SRID-SH-DO-0015,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0463_product-jpeg-500x500.jpg
DOKRA Dokra BRASS HANDMADE HANDCRAFTED HORSE PAIR,860-903,BBE-SRID-SH-DO-0016,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0464_product-jpeg-500x500.jpg
Dokra Handicrafts,537.5-564.38,BBE-SRID-SH-DO-0017,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0465_product-jpeg-500x500.jpg
Handcrafted Brass Dokra Art Deer Statue - Lost Wax Casting Metal Craft Figurine,4515-4740.75,BBE-SRID-ID-DO-0018,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0466_product-jpeg-500x500.jpg
Brass Musician/Drummer Dokra Art Figurine 1 Figure,1290-1354.5,BBE-SRID-SH-DO-0019,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0467_product-jpeg-500x500.jpg
Dokra DOKRA BRASS WALL HANGING WITH WARLI PAINTING,752.5-790.13,BBE-SRID-WA-DO-0020,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0468_product-jpeg-500x500.jpeg
Dokra Artwork On Brass,1397.5-1467.38,BBE-SRID-SH-DO-0021,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0469_product-jpeg-500x500.jpg
Dokra Artwork On Brass,3225-3386.25,BBE-SRID-SH-DO-0039,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0470_product-jpeg-500x500.jpg
DOKRA Dokra BRASS WALL HANGING,1720-1806,BBE-SRID-WA-DO-0022,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0471_product-jpeg-500x500.jpeg
Dokra Art Wall Frame,1612.5-1693.13,BBE-SRID-WA-DO-0023,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0472_product-jpeg-500x500.jpg
DOKRA Dokra BRASS WALL ART WITH WARLI PAINTING,483.75-507.94,BBE-SRID-WA-DO-0024,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0473_product-jpeg-500x500.jpeg
ADIBASI THEMED INNOVATIVE DOKRA WALL ART,1827.5-1918.88,BBE-SRID-WA-DO-0025,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0474_product-jpeg-500x500.jpeg
BRASS DOKRA Dokra HANDCRAFTED HANDMADE PENHOLDER TABLE/DESK ORGANISER WITH TORTOISE,1935-2031.75,BBE-SRID-DE-DO-0026,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0475_product-jpeg-500x500.jpeg
DECORATIVE NANDI BULL FIGURINE HANDMADE HANDCRAFTED BRASS Dokra ART TABLEOR DESK ORGANISER,2203.75-2313.94,BBE-SRID-DE-DO-0027,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0476_product-jpeg-500x500.jpeg
BRASS DOKRA Dokra LAXMI IN CHEST OF OWL EXCLUSIVE AND UNIQUE IDOL AND INNOVATIVE STATUE SHOWPIECE,4085-4289.25,BBE-SRID-ID-DO-0028,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0477_product-jpeg-500x500.jpg
DOKRA BRASS WOODEN MEMENTO TROPHY,397.75-417.64,BBE-SRID-ME-DO-0029,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0478_product-jpeg-500x500.jpeg
DOKRA Dokra WOODEN MEMENTO,671.875-705.47,BBE-SRID-ME-DO-0030,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0479_product-jpeg-500x500.jpeg
DOKRA Dokra BRASS CORPORATE DIWALI GIFT MEMENTO,1021.25-1072.31,BBE-SRID-ME-DO-0031,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0480_product-jpeg-500x500.jpeg
BRASS DOKRA Dokra CRAFT ...FARMER WITH BULLOCK CART,3547.5-3724.88,BBE-SRID-SH-DO-0032,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0481_product-jpeg-500x500.jpg
DOKRA-BRASS WALL HANGING FRAME,430-451.5,BBE-SRID-WA-DO-0033,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0482_product-jpeg-500x500.jpeg
Dokra DOKRA BRASS DURGA MAHISASURMARDINI FAMILY ON PLATE HANDCRAFTED ETHNIC,2795-2934.75,BBE-SRID-ID-DO-0034,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0483_product-jpeg-500x500.jpeg
BRASS DOKRA Dokra ETHNIC TRADITIONAL HANDCRAFTED SARASWATI IDOL WITH PRABHABALI CHALCHITRA,4300-4515,BBE-SRID-ID-DO-0035,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0484_product-jpeg-500x500.jpg
DOKRA BRASS ETHNIC GANESHJI IDOL SHOWPIECE,1612.5-1693.13,BBE-SRID-ID-DO-0036,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0485_product-jpeg-500x500.jpeg
BRASS DOKRA Dokra ETHNIC NATARAJ IDOL,3762.5-3950.63,BBE-SRID-ID-DO-0037,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0486_product-jpeg-500x500.jpg
Dokra Painting Antique Brass Frame,913.75-959.44,BBE-SRID-SH-DO-0038,74199930,Dokra,https://www.bluebloodexports.com/images/products/img_0487_product-jpeg-500x500.jpeg
Brass Jesus on the Cross Wall Hanging,1290-1354.5,BBE-SRID-WA-BR-0040,74199930,Brass,https://www.bluebloodexports.com/images/products/img_0488_product-jpeg-500x500.jpg
Brass Sitting Bajrangbali/Hanuman Idol for Pooja & Home Decor,1021.25-1072.31,BBE-SRID-ID-BR-0041,74199930,Brass,https://www.bluebloodexports.com/images/products/img_0489_product-jpeg-500x500.jpg
Terracotta Wall Hangings,107.5-112.88,BBE-SRID-WA-TE-0042,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0490_product-jpeg-500x500.jpg
Terracotta Wall Hangings,806.25-846.56,BBE-SRID-WA-TE-0057,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0491_product-jpeg-500x500.jpg
Terracotta Home Decor,806.25-846.56,BBE-SRID-SH-TE-0043,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0492_product-jpeg-500x500.jpg
Terracotta Wall Art,1290-1354.5,BBE-SRID-WA-TE-0044,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0493_product-jpeg-500x500.jpg
Terracotta Wall Art,1236.25-1298.06,BBE-SRID-WA-TE-0045,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0494_product-jpeg-500x500.jpg
Terracotta Wall Art,645-677.25,BBE-SRID-WA-TE-0060,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0495_product-jpeg-500x500.jpeg
Terracotta Wall Mural,806.25-846.56,BBE-SRID-WA-TE-0046,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0496_product-jpeg-500x500.jpeg
HANDMADE TERRACOTTA TABLETOP SHOWPIECE,182.75-191.89,BBE-SRID-SH-TE-0047,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0497_whatsapp-image-2026-01-01-at-12-30-43-am-500x500.jpeg
TERRACOTTA CLAY OWL,268.75-282.19,BBE-SRID-SH-TE-0048,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0498_product-jpeg-500x500.jpg
TERRACOTTA RADHA KRISHNA IDOL,53.75-56.44,BBE-SRID-ID-TE-0049,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0499_product-jpeg-500x500.jpg
